"","Gene","padj"
"2084","CA8",0.000436143622823683
"656","RPS3AP26",0.000436722848459971
"980","MRPS27",0.000436979130943318
"1623","RAB25",0.000436991749548949
"272","AKAP17A",0.000437265224924401
"620","DOK1",0.000437265224924401
"265","MXRA5",0.000437736790362092
"705","STAT4",0.000437736790362092
"428","TAS2R41",0.000438426894275138
"2057","LHX2",0.000438431605617764
"96","HAL",0.00043913184133071
"1170","GABRE",0.000440911393908874
"826","GLO1",0.000442348847969719
"500","UQCC2",0.000444234327324723
"2073","PDE4DIPP2",0.000445294288635411
"214","AC025279.2",0.000445297695855628
"1135","SYCP2",0.00044551031405917
"195","SPPL3",0.000445947976120382
"655","HOPX",0.000446592928164887
"1313","HIC1",0.000447476425848886
"1763","COL4A6",0.000450399874185866
"1463","APOL2",0.000450544129968705
"641","CYP2C18",0.000451763319910343
"1386","RPS28P7",0.000451763319910343
"2021","SLCO2A1",0.000452246175781011
"1935","TMIGD3",0.000452593676453348
"1652","CACNA1A",0.000461738275650498
"1365","ATP5MPL",0.000462419136430236
"54","ABRAXAS1",0.000465665848531373
"1891","ZRSR2",0.000465665848531373
"1234","DNAH14",0.000465890825058264
"669","KIAA0513",0.000467412733371577
"298","NSA2",0.000467433319698219
"279","SLC25A3",0.000469269093638852
"1051","C5AR1",0.000471800823249839
"1683","DNAJC5B",0.000471800823249839
"665","MMP9",0.000472273174858863
"647","NPTX2",0.000472826189789235
"1298","CACNG8",0.000472952209588164
"33","ADIPOR2",0.000473389502199174
"278","CH25H",0.000473775276753718
"793","RPS3",0.000473775276753718
"1382","NRXN1",0.000475063521835666
"1056","MRPS18B",0.000475608075781425
"1938","GAPDH",0.000475630211205007
"799","SIDT1",0.000478239251241864
"1593","ACOXL",0.000478343303800022
"1108","AGR2",0.000479260286700451
"1814","SPATA20P1",0.000479516287457984
"1985","DYRK1A",0.000479830646095043
"1454","C5AR2",0.000480962577069146
"1413","KRT17",0.000482936743149692
"308","RPL9",0.000483738886511443
"449","NUAK2",0.000483738886511443
"1653","JAK1",0.000485848572975235
"1043","ABHD2",0.000486928605290296
"1823","OR2T29",0.000488581438503622
"379","CYP46A1",0.00049092978670235
"146","CLEC3B",0.00049110404583708
"106","ZNF746",0.00049117337680378
"750","GBP6",0.000495617371584131
"1529","AC079316.1",0.000496111329351527
"1603","GUSBP3",0.00049619357916376
"2151","CCL21",0.00049619357916376
"1651","RHEX",0.000497105611068437
"1717","SMPDL3B",0.000497105611068437
"1077","TRBV20-1",0.000497714090364297
"773","DARS1",0.000497739603224779
"1201","CSNK2B",0.000497739603224779
"648","SDR42E1",0.000499372117462951
"1988","FBLN5",0.000500699962513161
"273","OTULIN",0.000501982984019945
"1700","DOCK9",0.000501982984019945
"723","TMEM183B",0.000504883565172889
"451","RPL3P4",0.000513561304586247
"63","PLPP3",0.000513619797560264
"1950","IFFO2",0.000515039609802233
"1129","TRBV7-9",0.000521510883799129
"1196","ANGPTL2",0.000522845651460401
"707","DONSON",0.000523897632654023
"1289","MECOM",0.000523897632654023
"1802","RPS26",0.000523897632654023
"2092","TRBV2",0.000523897632654023
"810","RBP5",0.000527595532781719
"2075","IGLV7-43",0.000529455367002663
"1973","ADAM33",0.000530201092906259
"957","ZNF365",0.00053089048001684
"385","IL11",0.000531739632352094
"767","IPO11",0.000531739632352094
"492","TOMM20P4",0.000537728705541132
"1894","H6PD",0.000540789219586771
"744","NOD1",0.000541330214922592
"225","SDHC",0.000541659992736132
"688","SMARCA2",0.00054208857635884
"324","TRPV3",0.000546267152299819
"1151","RXYLT1",0.000548291903913652
"557","TAF9",0.000548820889901814
"1117","TCF7L1",0.000551879523355083
"580","TMEM37",0.000556542076746296
"1487","SYNJ2",0.000556542076746296
"1886","OTUD5",0.000556871619001228
"1508","DNAH6",0.000556986356093053
"42","IFTAP",0.0005581062414295
"1379","THBS1",0.000558386998214534
"1622","ANKRD1",0.000563012614229181
"1673","CPN2",0.000566182243039423
"1438","STAR",0.000567565679048265
"1213","AC243960.2",0.000568831599358542
"831","MAP3K5",0.000574609616728601
"1621","BRK1",0.000578766731579996
"1069","RNF138",0.000579188573750204
"1383","ACTG1P14",0.00057959917842296
"1521","DTX3L",0.00058223502843586
"407","GPIHBP1",0.0005854894207692
"1381","GIPC2",0.000585631030623848
"868","TRAV6",0.000586606008668478
"1228","DES",0.000592743733569768
"476","TRAV2",0.00059530886594216
"883","NIPA2",0.00059530886594216
"1809","KRT31",0.00059530886594216
"1942","AP1B1",0.00059530886594216
"927","PLEKHA8P1",0.000595598648716344
"951","RAD1",0.000595598648716344
"672","TTC3",0.000598285240921394
"491","ALPK2",0.000600743445423712
"938","IGHV3-64",0.000602332790629251
"218","DMPK",0.000602870939041102
"439","AL645929.1",0.000602870939041102
"1585","GRN",0.000603188223647676
"1040","HSP90AB1",0.000603223688717306
"997","IFNLR1",0.000605800963064442
"715","GSTM5",0.00060806546232513
"1257","TEKT5",0.000609099699996777
"1010","TRAF3",0.000609105007962485
"985","UGT1A6",0.000611706797516704
"57","SERPINI2",0.000612777545375737
"1869","ABCA4",0.000613344662484296
"1307","LRATD1",0.000613471325818824
"100","XIRP2",0.000615482374813115
"431","SLFN11",0.000616061409544685
"2069","GTF2H1",0.000619366881648724
"542","PSIP1P1",0.000620246754101984
"434","DCBLD2",0.000623271481373711
"171","IGLV3-25",0.000624625062110758
"98","COX7CP1",0.000625939175324997
"2020","SLC31A2",0.000625939175324997
"1042","RET",0.000626275409071382
"2074","AC026150.2",0.000626878411931835
"421","KRT8P33",0.000628666205796678
"814","PRND",0.00062996102574494
"1911","TRAV1-2",0.000630439445278663
"281","ADAMTS10",0.000631761913292267
"720","UNC5A",0.000634416763736701
"326","FAM25A",0.000634776252722152
"1545","INSL3",0.000636193755119372
"1482","AHCY",0.000637665666021222
"2150","POM121L9P",0.000638455361399389
"206","UBE2E1",0.000639149254466653
"1658","KLHDC3",0.000641440310413013
"1873","RPL7A",0.000641440310413013
"930","ENG",0.000646353806885501
"1474","ZNF850",0.000648667246796419
"5","TGM5",0.000649736969650439
"695","ARNTL",0.000649904877075237
"1193","NUAK1",0.000650780692592494
"277","GFI1",0.000654832739007323
"10","SERPINB8",0.000658032741512556
"816","SOX18",0.000658032741512556
"933","RPS19P3",0.000658032741512556
"1074","TMPRSS6",0.000658720720540591
"1570","TSEN15",0.000660685601344164
"1788","IGLV2-11",0.000665774203893958
"1586","FAM111A",0.00066599784001544
"550","CRHBP",0.000667178431194955
"6","ADAM19",0.000667223712206913
"1049","E2F5",0.000668611034638337
"559","PLEKHD1",0.000670951942125639
"490","ANXA7",0.000674480664919653
"402","MUCL3",0.000675274884606269
"1142","PCGF2",0.000676244432059979
"1759","RBM25",0.000678229608181736
"624","ZNF567",0.000680371867761723
"418","DHRS3",0.000682751671506823
"1317","PIGR",0.000682751671506823
"454","AZIN1",0.000683286871362724
"1707","DMXL1",0.000683286871362724
"1937","EMX2",0.000700741205338944
"963","C9orf85",0.000701828266297675
"2048","TMEM154",0.000701828266297675
"1705","CHMP7",0.000703726278393683
"1978","RNASE6",0.000704472511623098
"237","TNNI2",0.000705945027383159
"282","EHF",0.000705945027383159
"1385","EIF2A",0.000705945027383159
"1711","EGFLAM",0.000705945027383159
"1920","FAM126A",0.000705945027383159
"1488","CLDN24",0.000706576279861603
"310","BIN1",0.000711914945717005
"676","PIM2",0.000711914945717005
"1557","IL1R2",0.000712998455289192
"1662","BRINP3",0.000712998455289192
"607","ACP1",0.000716068986349922
"2003","INHBB",0.000716635676011005
"1418","PIGW",0.00071857955637638
"1360","AC010343.1",0.000721397711664352
"47","FUT6",0.000729569697072498
"634","DERA",0.000731668342945218
"452","DGKG",0.000732951382345291
"680","EEF1G",0.000736983911223969
"1112","SPATC1",0.000736983911223969
"1982","TGFB1",0.000736983911223969
"183","LAPTM4B",0.000738675959754799
"561","FILIP1",0.000738675959754799
"422","ADGRE1",0.000738845558826062
"2099","CST3",0.000740104979776102
"1489","ATP5MC1",0.000743518678283837
"1694","DNAJC4",0.000743686489324766
"1594","PTGFR",0.000744480840835343
"1445","SMDT1",0.000745262573747965
"87","SRPX2",0.000746920656857944
"131","CMA1",0.000746920656857944
"993","FAAH2",0.000749220461466658
"380","HMGN5",0.000751733975833687
"895","LRRC28",0.000752229463888257
"2122","EZR",0.000755860444161929
"947","RCN2",0.00076210053844115
"2116","DDX60",0.000767325388340194
"2047","TMC5",0.000770360890861172
"1093","ZC3H4",0.000772457546426534
"1377","DAGLB",0.000773356014552847
"1319","SEMA3E",0.000773716748904029
"741","C1orf53",0.000773780746848345
"232","PTPRA",0.000779609695214657
"1933","SSU72",0.00078461429593313
"1226","LLGL2",0.000786260567402788
"575","SERPINB4",0.000787585552961114
"2108","HBA1",0.000788957785147027
"770","EFEMP1",0.000789789584354978
"1922","RPUSD3",0.000790808431332916
"240","KLC1",0.000790821753179259
"165","ELF3",0.000791160288488725
"395","ESRP2",0.000791963982567155
"916","LYPD5",0.000791963982567155
"1034","TLR4",0.000799942218378496
"2091","CALHM5",0.000800642295259821
"31","EREG",0.000807181304278092
"1402","TMEM60",0.000807671969796543
"2010","ABCA7",0.000809272171434439
"1275","MEMO1",0.000809616059533973
"1885","MYH11",0.000809803511473868
"1494","MIF",0.000811761980196926
"18","AL671277.1",0.000815190627584035
"184","ACIN1",0.000816989273557756
"1128","FADS1",0.000818389984637126
"443","ARHGAP15",0.000821024247160261
"1452","AC024293.1",0.000825705213293606
"261","EIF2S3",0.00082621189417949
"693","DIMT1",0.000831145252608851
"514","IGHV2-70",0.000834426173608657
"1361","ID1",0.000834426173608657
"1391","IL1B",0.000835395967501399
"1245","SPTBN5",0.00083675613358035
"984","FPR1",0.000838118306647884
"1344","GOLGA6L3",0.000845275515143524
"1646","SERPINA9",0.000845275515143524
"510","RPL8",0.000849221883307784
"14","C11orf1",0.00084994986902059
"1199","SMAD7",0.000854908705564236
"1954","PSMD8",0.000855815545890076
